2025-	2-	10-	21:	6:	27,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	21:	15:	57,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	21:	16:	13,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	10-	21:	51:	44,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	37:	7,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	37:	25,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	38:	11,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	38:	29,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	38:	55,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	39:	7,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	42:	7,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	42:	40,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	43:	1,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	43:	19,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	43:	56,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	44:	25,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	44:	38,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	49:	26,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	50:	45,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	57:	7,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	58:	34,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	59:	15,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	11:	59:	34,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	13:	44:	25,Nt:8,Nr:8,mu:4,samples:32
2025-	2-	11-	13:	45:	17,Nt:8,Nr:8,mu:4,samples:32
